Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,,,,
092011 Stack Overflow,5384168,You question is very incoherent. Can you ask it more clearly?,5,9,5,9,7,A2NPNKSW89BODS,A3E157ZN8XPUKJ,A3MMLCBV2W3BP9,A17G2LOYX7WQZ,A312BVGKE6BAS5,-2.074135269,7,Rude,0.856144172,,,
Wikipedia,274149,"Thanks; what should I do next time to make it easier, quicker?  Just let you know?",21,23,21,17,18,A2VMJFBCB921NI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,A2WZQ92N4809N1,1.288490423,20,Polite,0.997783836,,,
092011 Web Applications,4889,Guess that makes this community wiki. Don't you think?,10,12,2,13,4,AYG3MF094634L,A23312XQ2AQ91W,A1KC138MX47DXA,A2UFD1I8ZO1V4G,A29B522D0BX6HN,-1.436286607,8.2,Rude,0.914660673,,,
092011 Gaming,2697,"While this doesn't ring a bell, I find the second paragraph of this question very confusing. Perhaps you could make it a bit clearer?",11,5,13,5,5,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,ARX0S1CIDJLOX,AI4WWBB2PNCKH,-1.450441125,7.8,Rude,0.853768193,,,
Wikipedia,27314,"I noticed that you did some work on this article, and would like to expand it to include his recommendation (in ''Can Life Prevail'') that the UN develop hit squads to target large urban population centers (with neutron bombs as I recall), and also the discussion on the 9/11 terrorists being ""superior moral human beings"" for their actions.  Understanding that this is a BLP, that NPOV is important, and that including secondary sources is nearly impossible as they are difficult (at best) to find, what is your feeling on this?",21,21,9,21,23,A1BQCRF5Q76YFY,A6C0ASBUZW3DZ,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A3SQ6ORWDN5BGZ,0.989141827,19,Polite,0.418456734,,,
Wikipedia,600631,"The policy is quite clear; userids set up for the purposes of harassment or vandalism are blocked indefinitely.  That said, what policy is it that you think I'm not following?",1,9,1,9,13,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPXB863TARAK,-1.514742146,6.6,Rude,0.284566616,,,
092011 Stack Overflow,3086460,I think he is talking about the variable length arrays that were added to C in the C99 revision of the language. Is that correct aaa?,16,25,15,18,16,A3RP70I4XDGOIS,A1133ON5ALJKXJ,A28TXBSZPWMEU9,A17G2LOYX7WQZ,A2WGBPEN45GJNF,0.848351599,18,Polite,0.522348703,,,
Wikipedia,630119,"Thanks from me, too &mdash; cheers! I don't suppose you could put copyright and source information on those images, though?",25,21,18,15,17,A1R4VG71V6XECZ,A2WKPCZU4U110T,AYG3MF094634L,A26NYABOD7YBW8,A13CO3B2BRXQLZ,1.208536272,19.2,Polite,0.368672172,,,
Wikipedia,626619,"You realize the bot maintains a separate page, right? Is it not possible that the ""problem"" is having the pages inconsistent?",9,5,13,5,5,A233ONYNWKDIYF,AC25X12LNYY6Y,A2UBXHCHM2I6IL,A302M81U0HM7RJ,A22CF8BF9YQND7,-1.221229851,7.4,Rude,0.759512749,,,
092011 Gaming,3448,Does this only happen on multiplayer? Or does it happen on single-player too?,8,5,5,9,9,AYG3MF094634L,A233ONYNWKDIYF,ARYGQ46IMW8AU,A2SQU0H0EO6QNO,A32VJLRWGMYGSU,-2.095006317,7.2,Rude,0.825687854,,,
Wikipedia,393254,"Oh that's charming, so instead of making a personal attack on a single editor you made it on a class of editors. Does that somehow make it more ok?",5,7,6,5,2,A233ONYNWKDIYF,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A204JAK7QRDWVM,A1KC138MX47DXA,-2.125316919,5,Rude,0.217104803,,,
092011 Stack Overflow,8531020,"Just to be a bit of a stinker: your title isn't really a question, nor is it a good indicator of what you're actually asking. Consider revising?",10,9,7,9,5,AO5E3LWBYM72K,A14TK8NCD4CUN1,A17G2LOYX7WQZ,A2BKPNKU3EG41Z,A39FH0T1NKKMVO,-2.060300536,8,Rude,0.569823607,,,
Wikipedia,566067,Congrats! I thought you were going to be away today?,17,19,19,17,19,AYG3MF094634L,AVHARSCRX7M9E,A125P73OQSRNI5,A1DTQSIIYIZL62,AEYHIQUDWJ3KV,1.185104405,18.2,Polite,0.616312669,,,
Wikipedia,148625,Great job. Will it be done by next week?,21,22,17,21,17,A2WKPCZU4U110T,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,AZ1RJVNOZFIWV,0.964915918,19.6,Polite,0.96987182,,,
Wikipedia,457783,PS - surprised you didn't make the annoucement in your blog.  Trying to fool your hordes of devoted readers?,1,9,6,5,13,A377FGOJB9OTNG,A233ONYNWKDIYF,A1F4D2PZ7NNWTL,ABM77ZQWCHPNX,A13CO3B2BRXQLZ,-1.314029335,6.8,Rude,0.236388916,,,
092011 Apple,6753,I didn't know that you had to use an email address instead of a username. When did that change?,5,13,9,1,9,A23312XQ2AQ91W,A2UFD1I8ZO1V4G,A32VJLRWGMYGSU,ARX0S1CIDJLOX,A1LRRDBA84ITCJ,-1.54966773,7.4,Rude,0.115318064,,,
Wikipedia,34687,It's not too late to help at all - being busy has kept the work on it to a crawl.  ;)  I'd like to represent what you are referring to; was it on the Abom talk page or somewhere else?,17,20,23,15,21,A2QN0EGBRGJU1M,A2YFPO0N4GIS25,A2GSW5RBAT5LQ5,A1F4D2PZ7NNWTL,ABM77ZQWCHPNX,1.286982532,19.2,Polite,0.056577037,,,
Wikipedia,458817,Don't worry I understand. Using igloo I assume?,25,17,18,18,17,ANMGOZ451W9ZN,AW6UIL04MLQ9N,ATVSN1P3Z1NRY,AC25X12LNYY6Y,A2MWGIVIKOXWYM,1.173614685,19,Polite,0.603000137,,,
092011 WordPress,11123,Yeah you answer did help me. Please can you give me a little bit more details about 'creating a custom admin page that allows the user to add static sections via AJAX with links to their edit pages' (if there's no Static Content menu in which other ways the user can create the content)?,21,14,25,13,17,AO3XB5I5QNNUI,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,AR6N5URYPDBXS,0.691502363,18,Polite,0.326543495,,,
092011 Stack Overflow,7432265,"Thanks Dave.  As long as I reference your project on my site, thats ok right?",21,20,20,21,23,A2Y2ZBYDK9ZMEB,A1BS64O3JY0YJ4,A28TXBSZPWMEU9,A3EJ5TT2ZGBIDA,AFHAH1BIN51GI,2.510647938,21,Polite,0.780268247,,,
Wikipedia,214946,"Hey, several of the footnotes that you use in <url> are Harvard footnotes, which means that they need the full citation of the books in works cited section. I imagine you grabbed some of that information from some other places, would you mind retriveing the bibliographic data?",14,21,19,21,17,A377FGOJB9OTNG,A233ONYNWKDIYF,A1F4D2PZ7NNWTL,ABM77ZQWCHPNX,A13CO3B2BRXQLZ,1.10670831,18.4,Polite,0.395533244,,,
Wikipedia,318088,"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",5,9,7,9,7,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A29B522D0BX6HN,A2OXPRC8XC8T5J,A3GLUDQZGEJL5G,-1.574061711,7.4,Rude,0.868420028,,,
092011 Stack Overflow,1609397,"Dude, awesome planning.  Also, since there's at least two ways to do pretty much anything, how would you know if they are right or not?",15,22,16,25,23,AYG3MF094634L,A2Y0ZGI29KQBTB,A14TK8NCD4CUN1,AFD31LP2ZU9G7,A3OY0OL2M0HUTT,1.556467259,20.2,Polite,0.166151262,,,
Wikipedia,83992,I found this talk page (and <url>) while deleting the user pages that you requested.  Would you like to have them deleted as well?,20,17,13,25,21,A3I83CQLOZRO79,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,0.811214682,19.2,Polite,0.302292075,,,
092011 Stack Overflow,2853706,Welcome to SO. What is a Try It Editor?,21,19,19,20,19,A3H8M155NBFE1L,A1BS64O3JY0YJ4,A33SMNMTMIOJ6T,A2WGBPEN45GJNF,A39FH0T1NKKMVO,1.681834344,19.6,Polite,0.671588524,,,
092011 IT Security,2264,"This is hard to answer without more context - what is your threat model, your application, etc?  A general answer is at http://security.stackexchange.com/questions/1476/what-is-the-difference-in-security-between-a-vpn-and-a-ssl-connection so can you look at the answers there and either get clarity on those answers there, or ask more specific questions here?",17,25,17,17,19,A3IS283P2CECZJ,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,0.826146461,19,Polite,0.138347484,,,
092011 Webmasters,1354,"Also, when you look at the logs, are the calls to the server become less frequent?  Is it possible you have a loop or call that gets slower over time?",5,9,13,5,9,AO3XB5I5QNNUI,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1W2G1N4BDF2DW,A3GOI327COFGY5,-1.326353556,8.2,Rude,0.490084609,,,
Wikipedia,460804,I tried to make some improvements to the article. What do you think?,17,21,21,18,17,A233ONYNWKDIYF,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2QH1BQA6GR48O,A2AMGE57IJVSHF,1.10544404,18.8,Polite,0.214822337,,,
092011 Stack Overflow,2752236,"It could just be me, but that question doesn't make sense to me completely.  Maybe rephrase?",21,17,17,17,21,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A2TK0FA154PHP0,A1G05O3HM7DNVZ,A1M1T2EF4Y2IW8,0.795723241,18.6,Polite,0.757882512,,,
092011 Photography,3587,Could you next time create 2 posts if you have 2 questions? Please?,21,21,21,15,14,A26PVQXPVF93M0,A3E157ZN8XPUKJ,A3CPYEB0W3MLZK,A28TXBSZPWMEU9,ARX0S1CIDJLOX,0.563800385,18.4,Polite,0.706522861,,,
Wikipedia,79601,"Sure, I'll have a look at it. It looks like it needs a bit of a copyedit though, hope you don't mind?",21,17,23,17,15,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A2MWGIVIKOXWYM,A2NRW37D7QPLRE,A2LQ33BQ8G259D,0.637683308,18.6,Polite,0.784514284,,,
Wikipedia,621877,'''Wiki-star''': Hm? Is there a reason for your sorrow my good man?,25,25,17,17,17,A2X9AEDAHF7O7S,A3LSDGSZQEK7NF,A34A6MSJTD9A4L,A3E157ZN8XPUKJ,AC25X12LNYY6Y,0.702249163,20.2,Polite,0.188154836,,,
Wikipedia,272602,"Maybe you should consider a user name change? To, say, ""Sarah 'The Hammer' Ewart""?",5,9,11,6,13,A1R4VG71V6XECZ,A233ONYNWKDIYF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,A37ADCYLCSB5O2,-1.153310699,8.8,Rude,0.529454156,,,
Wikipedia,421012,thanks for the welcome! I have a question... how come you can't edit the article about Whales?,17,21,21,21,17,A3I83CQLOZRO79,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,1.485570514,19.4,Polite,0.346043365,,,
092011 Stack Overflow,5188261,"Which would be a good addition: ""I just did the problem and thought it's an interesting question. What are your thoughts/ideas on this?""",17,21,17,25,18,A2UFD1I8ZO1V4G,A17G2LOYX7WQZ,A1F4D2PZ7NNWTL,A3OY0OL2M0HUTT,A1Z7WT01G55LDC,1.032776562,19.6,Polite,0.424608889,,,
092011 Web Applications,13198,'copy public link' doesn't show on my dropbox. what happen?,9,9,7,5,5,AO3XB5I5QNNUI,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A32VJLRWGMYGSU,ARX0S1CIDJLOX,-1.839100177,7,Rude,0.611124706,,,
Wikipedia,85579,"If it's alright with you, I'm next going to start from 1930 and work back towards where you are, since I'm particularly interested in the Lang era. Is that okay?",13,17,25,21,22,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A3GOI327COFGY5,A00613921OIEGJA322163,1.153839002,19.6,Polite,0.943699325,,,
Wikipedia,472735,"Presumably the CfD will be inconclusive. Given the technical issues, perhaps an RfC might be more helpful?",16,21,17,13,23,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,ASMS4TMF7H5CR,0.978837143,18,Polite,0.282679153,,,
Wikipedia,599361,"Hi, <url>. Do you have a suggestion as to how these article make Wikipedia better?",17,18,21,18,17,A233ONYNWKDIYF,A2WKPCZU4U110T,A6YO9886DY2SC,AO5E3LWBYM72K,A1DTQSIIYIZL62,0.74794847,18.2,Polite,0.640445264,,,
092011 Stack Apps,6376,"@Sky Sanders - is support for fromdate/todate on the TODO list ? If so, any idea when it will be implemented?",21,18,21,21,25,A233ONYNWKDIYF,A3RLCGRXA34GC0,A1VIEFZYI54JHP,A2UFD1I8ZO1V4G,ARX0S1CIDJLOX,2.144287992,21.2,Polite,0.167440115,,,
Wikipedia,502620,"Hi there, I've found some peer-reviewed publications that discuss Hoser's work. Could you take another look at the article and the AfD discussion?",17,21,24,25,21,A233ONYNWKDIYF,A2WKPCZU4U110T,A6YO9886DY2SC,AO5E3LWBYM72K,A1DTQSIIYIZL62,1.451658608,21.6,Polite,0.954070141,,,
092011 Stack Overflow,4748171,"maxint**maxint is a number with >>750 decimals, i hope you're not really suprised it takes a while. Also what is supposed to happen when a number does not fit into 32 bit?",5,5,17,10,6,A416CQ0FIDNFT,A2YNPKYEFDZ6C9,A17G2LOYX7WQZ,A34M93NJC830DP,A321FJYVTX5WP9,-1.257131573,8.6,Rude,0.395893639,,,
092011 Stack Overflow,8503360,"Can you post a representative data set?  Are you okay with getting no matches back if there is a distance of more than 2 (or 5, or ..) between the closest pairs?",17,21,19,15,20,A2UFD1I8ZO1V4G,A1KC138MX47DXA,AD1IH74UX9IAI,A2BKPNKU3EG41Z,A38EGQEYZHRQNC,0.818947212,18.4,Polite,0.881961738,,,
Wikipedia,621629,Hi Emily!  Do you have any ideas about a topic yet?,13,23,17,21,19,A233ONYNWKDIYF,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,A2ULMYRKQMNNFG,A37ADCYLCSB5O2,1.088516867,18.6,Polite,0.36852428,,,
Wikipedia,224511,"Agian, wishful thinking is one thing, fantasyland, now back to reality, Can you provide me ONE journal, ONE book that mentioned the term ""palestinians"" before 1960's??? Why not?",17,5,9,5,1,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A1G05O3HM7DNVZ,A3IHLWMZNBLUR4,-1.751730669,7.4,Rude,0.393933126,,,
092011 Stack Overflow,1795931,"I just tried this bc I was thinking along the same lines but for some reason when I implement with my data1.csv file it makes no difference, I think it is because of userID numbering and lettering. Is possible for me to send you the data file, so you can see what I mean?",18,17,17,21,21,A1ZHP80O13CEUI,ARYGQ46IMW8AU,A1F4D2PZ7NNWTL,AD1IH74UX9IAI,A3OY0OL2M0HUTT,1.31093332,18.8,Polite,0.623470919,,,
092011 Stack Overflow,4668462,Nice question!.  Which specific terms do you understand and which ones do you not understand?,10,20,20,21,25,A3OW54MEVDKXJL,A125P73OQSRNI5,AD1IH74UX9IAI,A39FH0T1NKKMVO,A321FJYVTX5WP9,1.335354701,19.2,Polite,0.40704532,,,
Wikipedia,234674,I restored 3 non-piped blue links.  How does that look?,13,17,21,16,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,A38N58BSMTA0BE,0.602380839,17.6,Polite,0.024575989,,,
092011 Drupal Answers,505,"""I'm aware of WSOD Walkthrough but none of the reasons seems to apply this case.."" have you added the error reporting in the index.php? Do you get some errors then?",13,21,16,21,25,AO3XB5I5QNNUI,A233ONYNWKDIYF,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A2MWGIVIKOXWYM,0.84698807,19.2,Polite,0.908855952,,,
092011 Bicycles,7673,Thanks for the update - where did you find out that the construction has changed?,17,17,19,21,21,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A3OZ8KF0HWSVWK,A21ZPWERX0DMZ2,A3IS283P2CECZJ,1.047690486,19,Polite,0.690905149,,,
