Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,,,
092011 Stack Overflow,7899861,Do you need it to be zero? Can you assign it the **real** value immediately instead?,21,12,16,11,21,A3E157ZN8XPUKJ,A125P73OQSRNI5,A3EJ5TT2ZGBIDA,AD1IH74UX9IAI,A150TBAWIYV8J4,0.212232404,16.2,Polite,0.00301089,,
Wikipedia,507463,"I don't understand how you find it appropriate to talk about your illegal drug use on your user page.  Also, how do you have the right to ban other people's usernames with a name like ""'''BONG'''warrior""?",19,5,2,1,5,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A2EKTJWJGLWVWV,A2AMGE57IJVSHF,A1LO3ERNARW7Y4,-1.401238912,6.4,Rude,0.215987232,,
Wikipedia,250914,"When we go to the American Indian museum, they would like our real name ahead of time that way they can get us through security quickly. Could you get yours to me by tomorrow, either via the page for the meetup, my talk page or an e-mail?",17,17,21,17,25,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,AVWFW00UYDVUD,AD1IH74UX9IAI,A38N58BSMTA0BE,1.113551242,19.4,Polite,0.43299786,,
092011 Webmasters,940,Please don't downvote without stating your reason. Should this perhaps be turned into a wiki question?,9,14,13,15,9,AO3XB5I5QNNUI,A3RLCGRXA34GC0,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A32VJLRWGMYGSU,-0.381634639,12,Rude,0.003111042,,
Wikipedia,629673,No problem. Have you heard anything new about HRE?,19,16,16,21,19,A2WKPCZU4U110T,AYG3MF094634L,A3LXBP8T6JMY9B,A1RT9SQ9D9DLOV,A2BE71BN177IH3,1.025789082,18.2,Polite,0.105765018,,
092011 Physics,17513,"""""This waveform resembles a frequency modulated sinusoidal wave (only it is not)."""" Is this a joke?",21,17,13,14,17,A233ONYNWKDIYF,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A32VJLRWGMYGSU,0.654023337,16.4,Polite,0.003602316,,
Wikipedia,342260,"Hi, I can run a newsletter bot for you, WesleyDodds. Whatcha need me to deliver?",17,17,17,17,17,A2X9AEDAHF7O7S,AYG3MF094634L,A204JAK7QRDWVM,A38WUWONC7EXTO,A1F4D2PZ7NNWTL,0.582834009,17,Polite,0.689831361,,
092011 Stack Overflow,522931,"looks like it's a conflict with the Prototype library, which we introduced in the newer version. Any ideas how to stringify a json object containing an array under Prototype?",13,21,17,20,13,A3T68OBEBCKJF7,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A2Y0ZGI29KQBTB,A872FSFU7WV6W,0.570781517,16.8,Polite,0.00420358,,
092011 Photography,7194,"Speaking of, I stared at the moon last night and didn't see anything special. What was I supposed to see?",7,13,9,13,17,AK5KO8FC6LLUO,AO3XB5I5QNNUI,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A32VJLRWGMYGSU,-0.39485968,11.8,Rude,0.004299274,,
Wikipedia,276752,"Should the ""accessdate"" for the articles you found (thanks for that!) be 200''7''?",9,21,15,19,21,A21753FQKCM5DQ,A2YFPO0N4GIS25,A3LXBP8T6JMY9B,A38WUWONC7EXTO,A1DTQSIIYIZL62,0.734407769,17,Polite,0.318848547,,
092011 Stack Overflow,3391394,pass from where? what's your desired use-case?,13,9,13,5,13,A30XX64989TZKE,A3OW54MEVDKXJL,A320SR22MPGY17,A3DKR227NQCH4X,AFHAH1BIN51GI,-0.77724092,10.6,Rude,0.004572355,,
092011 Theoretical Computer Science,275,what exactly do you have in mind? Sampling or search applications?,9,9,6,2,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,ARX0S1CIDJLOX,A3GOI327COFGY5,-2.309935725,6.2,Rude,0.004806875,,
092011 Stack Overflow,4632523,It's possible.  Do you have any code yet?,21,13,16,21,13,A3H8M155NBFE1L,A233ONYNWKDIYF,A34NDXO56MBC3D,A3DKR227NQCH4X,A34M93NJC830DP,0.613328753,16.8,Polite,0.005029356,,
092011 Stack Overflow,3290689,"@Unreason About the rectangular case - think of the situation when points aren't positioned in a rectilinear way (basically, the points inside the rectangle can take any position and, hence, build complex curves). If I have some matrix with these points, ",17,17,13,15,21,A2UFD1I8ZO1V4G,A1LD0QIDVO016U,A2WGBPEN45GJNF,A39FH0T1NKKMVO,A3OY0OL2M0HUTT,0.602641716,16.6,Polite,0.005038215,,
Wikipedia,259776,"Hello, I've written a page about the <url>, shamelessly copying the style from your CCT/FoFC lists. In the process, have I missed anything out?",19,17,13,17,21,APMYUTI3V3Y6R,A2UFD1I8ZO1V4G,AD317NO9623GZ,ANVEDG15GV3QE,A3IHLWMZNBLUR4,0.642358042,17.4,Polite,0.0888429,,
092011 Stack Overflow,779260,"What ordering are you assuming for @array2. In other words, why does the count for 'one' come before the count for 'two'?",9,7,13,15,15,A233ONYNWKDIYF,A2Y0ZGI29KQBTB,A1EFWZTCRESQ0K,A2BKPNKU3EG41Z,A1HBDQ0BJQBA4Q,-0.624704507,11.8,Rude,0.005203125,,
Wikipedia,628146,You have given your point by point rebuttals to my reasons several times. How can you say I haven't provided my reasoning?,15,5,5,11,14,A1486XFUE4FA27,A9Y5N2QRY4PNW,AE3D6SE2D8UPQ,A2UBXHCHM2I6IL,A2MR8AA4I9S89Y,-0.745660197,10,Rude,0.050001173,,
Wikipedia,619630,"Do you know how to make the 'All Star Template' appear only at the bottom, as well as the 'Confirmed future sites', so the actual table appears at the top of the page??",13,17,19,17,20,ANMGOZ451W9ZN,A22SZHZTF72TRM,AW6UIL04MLQ9N,A3H7G3TQXAYGYD,A117G4HSX1Y0LQ,0.563985966,17.2,Polite,0.414898227,,
092011 Stack Overflow,5414018,@Murilo: Do you need to return all matches or just one? Are there any memory limits?,15,17,13,17,21,A1ZHP80O13CEUI,A3OW54MEVDKXJL,A28TXBSZPWMEU9,A1G05O3HM7DNVZ,A2BKPNKU3EG41Z,0.701126404,16.6,Polite,0.005822366,,
092011 Theoretical Computer Science,659,I don't quite understand what the question is. Are you asking for average-case results for NP-hard problems or are you asking whether we can solve NP-hard problems in the worst-case in expected polynomial time?,21,13,21,13,13,A3E157ZN8XPUKJ,A28TXBSZPWMEU9,A32VJLRWGMYGSU,A2JJLF3PI5XJ0I,A1LRRDBA84ITCJ,0.355959149,16.2,Polite,0.006050348,,
092011 Stack Overflow,5309491,@Marc: Wow. Was it obvious that aali was a sockpuppet account?,9,13,10,17,9,A233ONYNWKDIYF,AD1IH74UX9IAI,A2BKPNKU3EG41Z,A3OY0OL2M0HUTT,A2PIUQICBRBZZY,-0.596375934,11.6,Rude,0.006111697,,
Wikipedia,619643,Really? When/where did that happen?,11,11,13,8,13,ANGX5PAAYGL9P,AO5E3LWBYM72K,A2MWGIVIKOXWYM,A2LQ33BQ8G259D,A872FSFU7WV6W,-0.684826085,11.2,Rude,0.632976585,,
092011 Stack Overflow,3383617,"Ruby doesn't even have an official spec, so I doubt that there's a properly correct answer. In any case, why do you need to know this?",9,11,10,13,11,AQRI1E9W5268O,A33SMNMTMIOJ6T,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A1Z7WT01G55LDC,-1.087876826,10.8,Rude,0.006444063,,
Wikipedia,273534,Stole ur flag for my page. that ok?,5,11,11,13,10,ANMGOZ451W9ZN,A2MUBAL0UA1KUN,A2ULMYRKQMNNFG,A3EJ5TT2ZGBIDA,A37ADCYLCSB5O2,-1.265958966,10,Rude,0.159141152,,
092011 GIS,1722,"Also, you say you are looking for a tool but it sounds like you are looking for an image format. Do you have a list of allowable formats?",5,9,13,13,9,AO3XB5I5QNNUI,A3RLCGRXA34GC0,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A32VJLRWGMYGSU,-1.116856029,9.8,Rude,0.00752065,,
092011 Programmers,72975,"I've updated the question to specify that it's verbal feedback we need to record (sorry for the ambiguity). That noted, would such a system work with a member of the team adding clients' comments on their behalf?",9,9,6,5,13,A233ONYNWKDIYF,A1HUUSCZ4I5SOP,A23312XQ2AQ91W,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,-1.64808013,8.4,Rude,0.007532469,,
092011 Cooking,1487,Chli in the title should be Chili. (Does anyone have mod rights yet?),9,21,17,14,21,A233ONYNWKDIYF,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A13HSR88OUNIVP,0.174291902,16.4,Polite,0.007670643,,
Wikipedia,144711,"So I got rid of it. Have a little faith in my good judgment, okay?",5,5,13,17,9,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A00613921OIEGJA322163,AIPK94CUWL45W,-1.567195207,9.8,Rude,0.422554358,,
092011 Stack Overflow,6025310,what is the meaning of point 3? how is it different from a simple axis?,22,14,17,13,21,ATHS9GUME1XCA,AYG3MF094634L,A3E157ZN8XPUKJ,A17G2LOYX7WQZ,A3DKR227NQCH4X,0.124809001,17.4,Polite,0.007984967,,
Wikipedia,9522,"Hello, thank you for adding interesting content to <url> <url>.  Are you able to provide <url> that will help the content meet our ""<url>"" standard?",17,17,25,19,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ARSOFYBFN51Q0,A28TXBSZPWMEU9,A00613921OIEGJA322163,0.843327018,19.8,Polite,0.619154967,,
092011 Stack Overflow,7802487,"""real life examples""? You mean like spotting an xvalue in the supermarket, or wondering whether your car can be classified as  lvalue?",17,2,13,13,17,A3FHCACAJU25J6,A2AE4MZVUX9JPX,A17NUCNTE4BJK6,A3TXO6RKFIDFUV,A2WGBPEN45GJNF,-0.343965062,12.4,Rude,0.008619505,,
Wikipedia,582113,"I know, I understood that. :)  I didn't scold you for it at all, did I make you feel that way?",14,21,19,20,9,AYG3MF094634L,A26NYABOD7YBW8,A38WUWONC7EXTO,A872FSFU7WV6W,AEYHIQUDWJ3KV,0.64186406,16.6,Polite,0.579480572,,
Wikipedia,264041,I refer you to my last answer about independent sources. Do you have press coverage?,7,10,17,13,13,A6YO9886DY2SC,AO5E3LWBYM72K,A3KVLFBRO8X2MZ,A1E0EK09CA5OIO,A2UBXHCHM2I6IL,-0.521232645,12,Rude,0.047641074,,
092011 Gaming,2332,What platform? PC or XBox?,17,15,18,21,18,A233ONYNWKDIYF,A3RLCGRXA34GC0,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A3CPYEB0W3MLZK,0.748669639,17.8,Polite,0.009108257,,
092011 Stack Overflow,712153,I guess you could have mis-typed the name of the textbox control. Is it TextBox1? :),21,19,16,23,13,A3MMLCBV2W3BP9,A17G2LOYX7WQZ,A2BKPNKU3EG41Z,A1HBDQ0BJQBA4Q,A312BVGKE6BAS5,1.165411794,18.4,Polite,0.009153143,,
Wikipedia,470309,I noticed your interest in Dirichlet's contribution to the problem of <url>.  Do you have any information about what Dirichlet did exactly here?,17,13,13,21,21,A3I83CQLOZRO79,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,0.321542876,17,Polite,0.773119079,,
092011 WordPress,16117,"Please define ""primary navigation"". Also: are you using a custom theme, or one from the theme repository?",14,9,13,12,2,A3RLCGRXA34GC0,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,ARX0S1CIDJLOX,-0.912493912,10,Rude,0.00927435,,
Wikipedia,174873,I think the <url> would be more precise and accurate as <url>. What sayest thou?,13,17,15,13,25,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,AIPK94CUWL45W,A3IHLWMZNBLUR4,0.301970041,16.6,Polite,0.285843808,,
Wikipedia,169271,<url> apperantly we need a source...do you have one...??,9,13,9,8,13,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A07479753QYCZ4D30VB72,A29B522D0BX6HN,AIPK94CUWL45W,-0.616449387,10.4,Rude,0.502962861,,
092011 GIS,199,"That is an interesting problem, but would be time consuming and costly to determine every possible result.  Why not create a buffer?",9,8,3,9,17,AO3XB5I5QNNUI,A3RLCGRXA34GC0,A3CPYEB0W3MLZK,ARYGQ46IMW8AU,AKWJ5294VIZRR,-1.542821764,9.2,Rude,0.009477954,,
092011 Stack Overflow,5054319,"This sounds a lot like a machine learning algorithm - you're trying to find some function of those five parameters that estimates the ""goodness"" of the stock.  I'm no machine learning expert, but perhaps someone else here is?",17,21,17,15,20,A3R637QBE0IXDF,A3E157ZN8XPUKJ,A3OZ8KF0HWSVWK,AP6784DKV31O6,A1Z7WT01G55LDC,0.520906029,18,Polite,0.009564518,,
Wikipedia,349344,"Sorry, I completely missed the subsection title.  You think this is Merkey?",15,17,22,19,15,AW6UIL04MLQ9N,A21FGAQF6DQ9D9,A1BJTTNDDFZ3ZP,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,0.786570703,17.6,Polite,0.054075839,,
092011 Stack Overflow,8044815,why such a large file? Is this a one time thing or is this a on going problem?,11,9,16,5,5,A1ZHP80O13CEUI,A1AICZ42ZQ1X5C,A17G2LOYX7WQZ,A2I65VLBVF1OH6,A2BKPNKU3EG41Z,-1.21815132,9.2,Rude,0.00993926,,
Wikipedia,17795,"Hello, Jeff79. Would you weigh in on the above linked discussion regarding an edit you made?",17,17,17,17,17,A233ONYNWKDIYF,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2QH1BQA6GR48O,A2AMGE57IJVSHF,0.719957088,17,Polite,0.07200332,,
092011 Stack Overflow,8503137,"@Kerrek SB:  Each string in the input is printed out exactly once in the output, with at most an additional comma to separate them.  I don't see how that would come out to ""pages"", unless you are being sarcastic and there is something I am missing?",9,10,7,11,1,A416CQ0FIDNFT,A28TXBSZPWMEU9,AO2NFSIXUL5MT,A17G2LOYX7WQZ,A3DKR227NQCH4X,-1.317544224,7.6,Rude,0.010111791,,
092011 Stack Overflow,7554489,Show some code. How to you show the csv file?,13,13,12,1,10,A2UFD1I8ZO1V4G,AYG3MF094634L,A28TXBSZPWMEU9,A3DKR227NQCH4X,A3OY0OL2M0HUTT,-0.840721037,9.8,Rude,0.010275995,,
092011 Drupal Answers,505,"""I'm aware of WSOD Walkthrough but none of the reasons seems to apply this case.."" have you added the error reporting in the index.php? Do you get some errors then?",13,21,16,21,25,AO3XB5I5QNNUI,A233ONYNWKDIYF,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A2MWGIVIKOXWYM,0.84698807,19.2,Polite,0.010318175,,
Wikipedia,620106,Yes I am planning to. Is that good?,13,17,19,21,21,A2VMJFBCB921NI,A3LXBP8T6JMY9B,A3EJ5TT2ZGBIDA,A302M81U0HM7RJ,A1F4D2PZ7NNWTL,0.988816792,18.2,Polite,0.488604767,,
Wikipedia,251799,"Greetings, sorry to bother you here... I have been using the MissingTopics tool for years, to generate <url> The last time I used it successfully was Nov 16.  Something must have changed in the algorhythms since then, because it will no longer read any page starting with an Amharic character... Is it broke?",21,21,21,17,21,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A2QH1BQA6GR48O,A207OR9LV0PAPY,1.44028371,20.2,Polite,0.018840429,,
092011 Stack Overflow,719397,Do you require the actual return code from file.sh? Can you change the script so that it writes to a file when complete?,17,17,15,21,13,A3H8M155NBFE1L,A233ONYNWKDIYF,A34NDXO56MBC3D,A3DKR227NQCH4X,A34M93NJC830DP,0.686404252,16.6,Polite,0.011347429,,
Wikipedia,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton.  Why did you do it?",9,13,9,17,9,A233ONYNWKDIYF,APDWVWS2HMSFD,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A3IHLWMZNBLUR4,-0.606565687,11.4,Rude,0.495908608,,
092011 Stack Overflow,8619808,"Do you need to read all of the files in the directory? Or, more specifically, are there files in that directory that you do not want to read?",21,13,21,15,20,A3H8M155NBFE1L,A2UFD1I8ZO1V4G,A1KC138MX47DXA,AD1IH74UX9IAI,A3OY0OL2M0HUTT,0.57381822,18,Polite,0.012204169,,
092011 Stack Overflow,2585411,"The C specification says tm_years is ""Years since 1900.""  Why not just stick to the standard and avoid this whole mess?",4,13,2,1,11,A1KYGP10BH4FXU,A1H0XDGVSBL152,A872FSFU7WV6W,A3DKR227NQCH4X,A3OY0OL2M0HUTT,-1.076234087,6.2,Rude,0.012365138,,
092011 Stack Overflow,1868965,"@kelton52, then the problem is at compile time rather than run time. There should still be behaviour, error messages from the compiler perhaps?",21,12,17,13,17,A1UIH2IMG9DV95,A1K8E2E0HHRZ4S,A2TK0FA154PHP0,AO3XB5I5QNNUI,A1F4D2PZ7NNWTL,0.701532946,16,Polite,0.012559991,,
Wikipedia,619609,Please explain how that is a personal attack? You do realise that someone critisizing your actions is not the same as a personal attack don't you?,16,5,4,4,5,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,-1.456322286,6.8,Rude,0.993094112,,
Wikipedia,25458,"Maybe others haven't noticed - or are too busy.  If you are thinking what I'm thinking, why am I reverting so many of your edits?",11,7,17,6,7,A22SZHZTF72TRM,AO5E3LWBYM72K,A1434R69YV3Y3I,A302M81U0HM7RJ,A1F4D2PZ7NNWTL,-0.976642908,9.6,Rude,0.510605626,,
Wikipedia,52605,I don't understand why did you add that message at the bottom of this page??,4,13,5,9,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A2AMGE57IJVSHF,A2GODV4YZGD8X9,-1.545324605,7.2,Rude,0.397156155,,
092011 Stack Overflow,6310342,You could serialize Python objects to files and then load them. The problem is that model is too large?,17,20,16,21,19,A2UFD1I8ZO1V4G,A17G2LOYX7WQZ,A1F4D2PZ7NNWTL,A3OY0OL2M0HUTT,A1Z7WT01G55LDC,0.838208705,18.6,Polite,0.012989393,,
092011 Stack Overflow,6607789,Why are you using exec? And what's wrong with passing in a string or file?,4,13,8,11,13,A23FB7HE970AZJ,A28TXBSZPWMEU9,A17G2LOYX7WQZ,A3TXO6RKFIDFUV,A2WGBPEN45GJNF,-1.235730584,9.8,Rude,0.013050902,,
Wikipedia,411117,I'll add that to the others. Will that work?,21,21,24,21,13,A233ONYNWKDIYF,AE3D6SE2D8UPQ,AO5E3LWBYM72K,A3H7G3TQXAYGYD,AZOAW8JH5HJJK,1.234961753,20,Polite,0.824828556,,
Wikipedia,541730,No problem.  :) Did you see the additional notes on the project talk page about the rest of those books from the 70s?,17,25,17,25,17,A22SZHZTF72TRM,AO5E3LWBYM72K,AVHARSCRX7M9E,A3TFQK7QK8X6LM,A3FGBGZ4RKH712,1.070401964,20.2,Polite,0.724976052,,
092011 Stack Overflow,3835141,"""doing math on the file as if it were one long number"" sounds like a bad idea!  What method is this?",11,17,5,11,9,AGFHIO3UKJ9EF,A3EJ5TT2ZGBIDA,A1TWD4UTLWVYAQ,A2EV4INWSEBY6Q,A2PIUQICBRBZZY,-0.953143883,10.6,Rude,0.01348617,,
Wikipedia,219171,"So, let me make sure I understand this. You think that, if we remove an image as it does not meet the NFCC, you would then be able to upload the same image, only this time, it would meet the NFCC?",9,12,16,6,7,A1RPVYUPJZGM9Z,A199E33VY97TR,AYG3MF094634L,AO5E3LWBYM72K,A3MN5VOZFQPNZF,-0.866866233,10,Rude,0.447840622,,
Wikipedia,624290,"Okay, I will fix the ""crystals"", but how do I put myself up for adoption again? Will you kindergarten <url> me through the process?",14,1,13,4,13,A21753FQKCM5DQ,A1QV3X9YMQQ3OQ,A2GSW5RBAT5LQ5,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-0.967990741,9,Rude,0.378925099,,
092011 Stack Overflow,5852672,Is there a correct term for them? (Variations / Sub-Lists ?),13,17,15,21,14,A2UFD1I8ZO1V4G,A1G05O3HM7DNVZ,A2BKPNKU3EG41Z,A3DKR227NQCH4X,A39FH0T1NKKMVO,0.18678433,16,Polite,0.01367139,,
092011 Stack Overflow,1383619,"Also, the last time you asked this, 100 worked but 190 didn't work. Why the change?",13,8,6,15,15,A2UFD1I8ZO1V4G,A33SMNMTMIOJ6T,A3K2Y59JJBDXMD,A2BKPNKU3EG41Z,A39FH0T1NKKMVO,-0.78315524,11.4,Rude,0.013869428,,
092011 Android Enthusiasts,6574,40 kbps is fast enough to load the full facebook.com in about a minute.  Is that even worth it?,18,8,17,8,11,A3RLCGRXA34GC0,A23312XQ2AQ91W,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A2MWGIVIKOXWYM,-0.444123972,12.4,Rude,0.014008647,,
092011 Stack Overflow,5862443,That's a straightforward formula that uses basic arithmetic operations.  What part don't you understand?,13,9,11,5,2,A28TXBSZPWMEU9,AO3XB5I5QNNUI,A17G2LOYX7WQZ,ACQ5ARKNBGZKY,A2BKPNKU3EG41Z,-1.625779861,8,Rude,0.014471132,,
Wikipedia,165714,"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",21,17,17,21,20,A233ONYNWKDIYF,A2QH1BQA6GR48O,ANVEDG15GV3QE,A29B522D0BX6HN,AIPK94CUWL45W,1.40734518,19.2,Polite,0.107296031,,
092011 Stack Overflow,5244086,That doesn't really make any sense. You have an array of dictionary objects or you actually have a dictionary whose values are all of this object type with keys like Title etc?,11,13,7,5,11,A1ZHP80O13CEUI,A1AICZ42ZQ1X5C,A17G2LOYX7WQZ,A2I65VLBVF1OH6,A2BKPNKU3EG41Z,-1.164822925,9.4,Rude,0.014740081,,
092011 Android Enthusiasts,2539,I'd really like to know how to do this without a data plan.  An SMS autoresponder that replies with a google maps link to my latitude and longitude?,21,21,17,14,15,A26PVQXPVF93M0,A3E157ZN8XPUKJ,A3CPYEB0W3MLZK,A28TXBSZPWMEU9,ARX0S1CIDJLOX,0.351192158,17.6,Polite,0.014748998,,
Wikipedia,619983,Indeed. I trust you have already watchlisted this editor?,17,25,13,17,14,ANMGOZ451W9ZN,AO5E3LWBYM72K,A3HL4QP95BEAG3,A2MWGIVIKOXWYM,A2UBXHCHM2I6IL,0.516774264,17.2,Polite,0.81314577,,
092011 Stack Overflow,6319354,"this is not merging, this is sorting. BTW what are those objects (a1 b1 ...) string?",13,6,17,9,15,A2UFD1I8ZO1V4G,A1KYGP10BH4FXU,A3EJ5TT2ZGBIDA,AD1IH74UX9IAI,A39FH0T1NKKMVO,-0.480856759,12,Rude,0.014951329,,
092011 Home Improvement,1107,Sounds like a good plan. Do you think DRYLOK is a good or bad thing to do on the walls?,16,13,13,22,17,AYG3MF094634L,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A3OZ8KF0HWSVWK,A309BLCQJHQULO,0.283834307,16.2,Polite,0.014983733,,
092011 Cooking,1935,Why on earth would that make for bad chicken salad?,5,9,18,11,10,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A2QZV6QX8WXJUN,ARYGQ46IMW8AU,A1IL3EEC2BN53J,-1.403365605,10.6,Rude,0.015747938,,
